indicador_default,utilizacion_limite_revolvente,edad_solicitante,frecuencia_mora_30_59d,indice_endeudamiento,ingreso_mensual_bruto,conteo_instrumentos_credito,frecuencia_mora_90d,conteo_hipotecas,frecuencia_mora_60_89d,carga_familiar
0,0.046640328,92,1,0.034326669,2650.0,13,0,0,0,0.0
0,0.0164781,92,0,10.0,,3,0,0,0,0.0
0,0.006999563,97,0,3.0,,2,0,0,0,
0,0.9999999,91,0,0.0,,3,0,0,0,
0,0.159116246,91,0,0.184123484,1813.0,6,0,0,0,0.0
0,0.017796441,92,0,2.0,,2,0,0,0,
0,0.136793641,92,1,0.235086836,3972.0,11,0,1,0,1.0
0,0.013332445,93,0,0.00244798,2450.0,1,0,0,0,0.0
0,0.005333172,91,0,0.000301495,16583.0,3,0,0,0,0.0
0,0.000307164,93,0,0.150462384,4000.0,11,0,1,0,0.0
0,0.012779983,93,0,1402.0,,7,0,1,0,0.0
0,0.011449428,96,0,15.0,,3,0,0,0,0.0
0,0.00504304,99,0,800.0,,5,0,0,0,
0,0.044791042,92,0,0.00119976,5000.0,1,0,0,0,0.0
0,0.374469538,94,0,230.0,,4,0,0,0,0.0
0,0.007390064,94,0,3.93e-05,203500.0,5,0,0,0,0.0
0,0.0,93,0,0.0,4889.0,5,0,0,0,0.0
0,0.9999999,95,0,447.0,,3,0,1,0,
0,0.001898686,93,0,2.0,,9,0,0,0,
0,0.009668762,93,1,0.00219956,5000.0,5,0,0,0,0.0
0,0.0,92,0,0.000302786,9907.0,9,0,0,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.001380887,91,0,0.0,2706.0,4,0,0,0,0.0
0,0.009339405,95,0,24.0,,3,0,0,0,0.0
0,0.011896662,91,0,15.0,,7,0,0,0,0.0
0,0.028790621,91,0,0.00297442,3361.0,2,0,0,0,0.0
0,0.012949784,96,0,0.003066258,7500.0,2,0,0,0,1.0
0,0.053364153,91,0,2966.0,,4,0,1,0,
0,0.0,94,0,0.0,2412.0,1,0,0,0,0.0
0,0.126258696,96,0,0.040494938,8000.0,9,0,0,0,0.0
0,0.005739188,92,0,8.0,,11,0,0,0,0.0
0,0.0198058,91,0,721.0,,6,0,1,0,0.0
0,0.106078913,93,0,0.012256088,6200.0,3,0,0,0,0.0
0,0.069167254,101,0,50.0,,2,0,0,0,0.0
0,0.274268752,91,0,1869.0,,27,0,1,0,0.0
0,0.022667511,91,0,0.004254254,7991.0,9,0,0,0,0.0
0,0.117001334,93,0,181.0,,7,0,0,0,
0,0.0,97,0,0.0,0.0,3,0,0,0,0.0
0,0.016426026,91,0,0.079706695,10500.0,16,0,1,0,0.0
0,0.012737385,98,0,0.006502555,2152.0,6,0,0,0,0.0
0,0.040129755,91,0,26.0,,3,0,0,0,0.0
0,0.000777749,91,0,0.0,,6,0,0,0,
0,0.036658258,91,0,48.0,0.0,5,0,0,0,1.0
0,0.001085432,93,0,0.001028454,5833.0,18,0,0,0,1.0
0,0.0,98,0,0.0,,2,0,0,0,
0,0.03577579,91,0,0.00379924,5000.0,2,0,0,0,0.0
0,0.098498551,91,0,0.609688854,2538.0,11,0,2,0,0.0
0,0.002333074,92,0,0.0,,3,0,0,0,
0,0.000833302,93,0,0.0,2500.0,10,0,0,0,0.0
0,0.0,93,0,0.0,,3,0,0,0,
0,0.059038344,97,0,0.003332778,6000.0,3,0,0,0,1.0
0,0.0,91,1,0.0,,3,0,0,0,
0,0.021619706,92,0,0.343154762,3359.0,8,0,1,0,1.0
0,0.001064482,93,0,0.0,,3,0,0,0,0.0
0,0.028383888,91,0,0.00846588,3897.0,3,0,0,0,0.0
0,0.007582701,94,0,2.0,,1,0,0,0,0.0
0,0.479163694,92,0,0.493077349,5416.0,11,0,2,0,0.0
0,0.201260231,91,0,0.038318371,4566.0,3,0,0,0,0.0
0,0.017684817,94,0,327.0,,6,0,0,0,0.0
0,0.012638029,91,0,0.004582951,4363.0,6,0,0,0,0.0
0,0.027754293,91,0,0.00622084,4500.0,8,0,0,0,0.0
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.019455464,95,0,10.0,,7,0,0,0,0.0
0,0.008463523,97,0,8.0,,4,0,0,0,
0,0.013258277,93,0,5.0,,2,0,0,0,0.0
0,0.029174754,92,0,373.0,,5,0,0,0,0.0
0,0.029476016,91,1,0.015007215,3464.0,7,0,0,0,0.0
0,0.035994858,96,0,0.004861111,1439.0,3,0,0,0,0.0
0,0.0,93,0,0.0,3453.0,4,0,0,0,0.0
0,0.018635121,92,0,0.001618893,10500.0,5,0,0,0,0.0
0,0.099985716,91,1,21.0,,4,0,0,0,0.0
0,0.0,91,0,11.0,,4,0,0,0,0.0
0,0.9999999,103,0,0.0,1600.0,3,0,0,0,0.0
0,0.001505847,91,0,0.101237345,8000.0,7,0,1,0,1.0
0,0.0,95,0,0.0,,6,0,0,0,
0,0.414905673,93,0,0.053127678,3500.0,3,0,0,0,0.0
0,0.063829787,94,0,34.0,,4,0,0,0,
0,0.003682973,95,0,14.0,,12,0,0,0,
0,0.019371763,92,0,0.002777469,9000.0,5,0,0,0,0.0
0,0.004399413,91,0,0.0,6000.0,1,0,0,0,0.0
0,0.029722871,91,0,0.188635227,6000.0,9,0,1,0,0.0
0,0.000568797,93,0,0.0,,7,0,0,0,
0,0.003409238,94,0,5.0,,13,0,0,0,0.0
0,0.063124821,93,0,6.0,,1,0,0,0,
0,0.072309964,93,0,0.342552483,3000.0,8,0,2,0,0.0
0,0.027736969,91,0,0.009688581,4334.0,8,0,0,0,0.0
0,0.001333306,92,0,0.000285633,3500.0,5,0,0,0,0.0
0,0.00249975,94,0,0.0,,2,0,0,0,0.0
0,0.030948453,94,0,0.428794992,1916.0,9,0,1,0,0.0
0,0.040320247,92,0,0.014307811,2585.0,4,0,0,0,0.0
0,0.0,94,0,1531.0,,5,0,1,0,
0,0.000842673,99,0,0.0,,4,0,0,0,
0,0.02759816,93,0,0.004798081,2500.0,4,0,0,0,0.0
0,0.004810627,91,0,0.003700962,1350.0,7,0,0,0,0.0
0,0.9999999,93,0,0.0,,1,0,0,0,0.0
0,0.9999999,91,0,0.0,,0,0,0,0,0.0
0,0.169261534,92,0,35.0,,3,0,0,0,0.0
0,0.024023414,92,0,0.004878049,3484.0,6,0,0,0,0.0
0,0.005049676,91,0,0.000802139,3739.0,3,0,0,0,0.0
0,0.011690257,92,0,0.002285061,3500.0,3,0,0,0,0.0
0,0.009866338,102,0,0.002423508,3300.0,3,0,0,0,0.0
0,0.9999999,92,0,16.0,,5,0,0,0,0.0
0,0.9999999,93,0,0.0,,2,0,0,0,0.0
0,0.9999999,92,0,0.252773004,6400.0,3,0,1,0,0.0
0,0.006161099,93,0,6.0,,3,0,0,0,
0,0.042716463,93,0,58.0,,5,0,0,0,0.0
0,0.0,91,0,0.0,,5,0,0,0,0.0
0,0.024283411,91,2,0.118772625,5800.0,7,0,1,0,0.0
0,0.148721282,91,0,0.315949448,6250.0,5,0,1,0,0.0
0,0.254256291,91,2,0.519274036,6666.0,18,0,0,0,0.0
0,0.054857177,91,0,0.013623297,8000.0,5,0,0,0,1.0
0,0.0,91,0,1315.0,,3,0,1,0,0.0
0,0.9999999,97,0,0.0,,1,0,0,0,
0,0.002363593,94,0,0.00044603,6725.0,6,0,0,0,0.0
0,0.013998833,93,0,5.0,,2,0,0,0,0.0
0,0.018070155,93,0,14.0,,11,0,0,0,0.0
0,0.039684932,95,0,0.01112361,8000.0,12,0,0,0,1.0
0,0.014031785,91,0,0.076294278,4036.0,11,0,0,0,0.0
0,0.9999999,92,0,0.0,,2,0,0,0,0.0
0,0.022913025,95,0,0.017193123,2500.0,4,0,0,0,0.0
0,0.023730837,93,0,0.510134366,4390.0,8,0,0,0,0.0
0,0.044086901,95,0,695.0,,3,0,1,0,
0,0.9999999,91,0,0.0,,0,0,0,0,0.0
0,0.9999999,93,0,1974.0,,1,0,1,0,0.0
0,0.001101945,91,0,0.000856898,3500.0,5,0,0,0,1.0
0,0.006461439,92,1,0.008142117,1350.0,6,0,0,0,0.0
0,0.0,95,0,0.0,,2,0,0,0,0.0
0,0.010126103,91,0,14.0,,10,0,0,0,0.0
0,0.887293219,95,0,0.029043167,5026.0,5,0,0,0,0.0
0,0.031580702,94,0,11.0,,2,0,0,0,
0,0.0,91,0,0.0,,3,0,0,0,0.0
0,0.067568787,91,0,0.017757159,6250.0,4,0,0,0,0.0
0,0.0119992,92,0,5.0,,2,0,0,0,
0,0.0,91,0,23.0,,4,0,0,0,0.0
0,0.029397759,92,0,0.003333016,10500.0,8,0,0,0,0.0
0,0.32345483,91,0,2860.0,,11,0,4,0,
0,0.114514721,93,0,0.03832056,3000.0,3,0,0,0,0.0
0,0.006460639,93,0,0.000527148,7587.0,6,0,0,0,0.0
0,0.01699932,91,0,0.016793283,2500.0,9,0,0,0,0.0
0,0.000848459,97,0,0.000431593,2316.0,5,0,0,0,0.0
0,0.005660164,94,0,4.0,,4,0,0,0,0.0
0,0.007517069,97,0,0.001124859,8000.0,7,0,0,0,0.0
1,0.001271033,99,0,0.000461467,6500.0,15,0,0,0,0.0
0,0.064747843,107,0,939.0,,9,0,1,0,0.0
0,0.206427664,94,1,0.815876516,9069.0,25,0,4,0,0.0
0,0.00859957,97,0,5.0,,3,0,0,0,
0,0.456213321,92,0,0.683946046,3780.0,11,0,1,0,0.0
0,0.035579497,92,0,32.0,,7,0,0,0,0.0
0,0.029664445,93,0,107.0,,7,0,0,0,
0,0.00059996,91,0,0.0,,4,0,0,0,
0,0.0,91,0,5208.0,,4,0,1,0,0.0
0,0.0,91,0,0.0,,5,0,0,0,0.0
0,0.9999999,94,0,0.0,,2,0,0,0,
0,0.0,91,0,1.0,,6,0,0,0,
0,0.0,95,0,0.0,,1,0,0,0,0.0
0,0.0,92,0,0.0,,1,0,0,0,0.0
0,0.065897025,92,1,69.0,,5,0,0,0,
0,0.014057338,92,0,0.146715139,3850.0,5,0,1,0,0.0
0,0.019473239,92,0,41.0,,10,0,0,0,0.0
0,0.012139208,92,0,8.0,,5,0,0,0,
0,0.002043389,92,0,0.000666223,1500.0,6,0,0,0,0.0
0,0.104973584,92,0,0.121649221,7833.0,9,0,1,0,0.0
0,0.002749189,92,0,0.001684033,9500.0,14,0,0,0,1.0
0,0.464348896,92,0,0.312315852,3393.0,2,0,1,0,0.0
0,0.431234098,91,2,0.304861427,2200.0,7,0,0,0,0.0
0,0.0,92,0,0.0,3538.0,7,0,0,0,0.0
0,0.005547683,93,0,0.148185181,10000.0,13,0,1,0,0.0
1,0.00887737,91,0,0.002687914,20833.0,4,1,0,0,0.0
0,0.008688696,97,0,0.001649918,6666.0,2,0,0,0,0.0
0,0.0,93,0,0.0,1900.0,2,0,0,0,0.0
0,0.037065019,92,0,313.0,,7,0,0,1,0.0
0,0.005437393,91,0,0.002027965,9368.0,18,0,0,0,0.0
0,0.011934035,95,0,0.001599744,6250.0,3,0,0,0,0.0
0,0.0,95,0,0.0,,5,0,0,0,0.0
0,0.001995226,93,0,0.000590388,8468.0,3,0,0,0,0.0
0,0.020031368,93,0,0.013198944,4166.0,6,0,0,0,0.0
0,0.0,98,0,0.0,,3,0,0,0,0.0
0,0.091354591,93,1,0.059734228,7750.0,8,1,0,0,0.0
0,0.024091426,94,0,29.0,0.0,3,0,0,0,0.0
0,0.007874803,92,0,0.001079914,8333.0,1,0,0,0,0.0
